comment,cleaned_comment,lang
"​ @mandirifarm2211 Rakyat ini apa lah yg mau diiri kan?? Rakyat kritik lu bilang iri pada pemerintah? Kita punya akal masing masing kita punya fikiran yg berbeda jika ada yg TDK sependapat pada pemerintah maka bersyukurlah pemerintah bahwa masih ada rakyat yg peduli dgn bangsa ini, benar atau salah itu hanya vonis, kita sebagai rakyat harus tau  apa yg sdng terjadi dan mengkritik nya begitu pula pemerintah coba lah bangkitkan kepercayaan rakyat dan pertanggung jawab kan atas kebijakan yg bnyak mempersulit rakyat",mandirifarm rakyat ini apa lah yg mau diiri kan rakyat kritik lu bilang iri pada pemerintah kita punya akal masing masing kita punya fikiran yg berbeda jika ada yg tdk sependapat pada pemerintah maka bersyukurlah pemerintah bahwa masih ada rakyat yg peduli dgn bangsa ini benar atau salah itu hanya vonis kita sebagai rakyat harus tau  apa yg sdng terjadi dan mengkritik nya begitu pula pemerintah coba lah bangkitkan kepercayaan rakyat dan pertanggung jawab kan atas kebijakan yg bnyak mempersulit rakyat,id
merana rupiahku 🤦🤦,merana rupiahku,id
​ @mariopesak6071 kerjanya mana?,mariopesak kerjanya mana,id
"dari dulu juga gak pegang uang, elo mau khawatir apa? wkwkwkwk",dari dulu juga gak pegang uang elo mau khawatir apa wkwkwkwk,id
"​ @johanesbaptista894 satu lagi bukti kesuksesan para elit, ""gak mau rakyat bangsa ini jadi pemikir"" 
Jd standart ente itu cuma sekolah yg tinggi trus punya ijazah sama bagai bukti kalo ente pernah saya sekolah, tapi gak pernah mikir 😵‍💫💡","johanesbaptista satu lagi bukti kesuksesan para elit gak mau rakyat bangsa ini jadi pemikir 
jd standart ente itu cuma sekolah yg tinggi trus punya ijazah sama bagai bukti kalo ente pernah saya sekolah tapi gak pernah mikir",id
​ @Sahabatfarm86 kamu lari kemana ?,sahabatfarm kamu lari kemana,id
"@masyoto5667  termasuk anda in.jika di hati mu yg ada cuma rasa kebencian karna calon mu gagal,sampai mati pun hati mu hanya ada kebencian.",masyoto  termasuk anda injika di hati mu yg ada cuma rasa kebencian karna calon mu gagalsampai mati pun hati mu hanya ada kebencian,id
"Kepresidenan Bowo berbahaya, GANTI💀",kepresidenan bowo berbahaya ganti,id
SDM RENDAH,sdm rendah,id
"wkwkwkwkwk baru nonton isinya ga menarik, kebanyakan cari aman tidak menjawab masalah rakyat di gantung dan membosankan, kebanyakan mikir si bapak jawabnya",wkwkwkwkwk baru nonton isinya ga menarik kebanyakan cari aman tidak menjawab masalah rakyat di gantung dan membosankan kebanyakan mikir si bapak jawabnya,id
kirain bakalan seru,kirain bakalan seru,id
